group,day,hour,minute,relativeTime,timestamp,cage,rack,position,event
5_S_C,0,3,25,12320,2023-11-30T09:25:20.590+0100,5_S_C_1,DVC Rack A,A9,REMOVED
5_S_C,0,3,26,12386,2023-11-30T09:26:26.969+0100,5_S_C_1,DVC Rack A,A9,INSERTED
5_S_C,0,3,26,12387,2023-11-30T09:26:27.592+0100,5_S_C_2,DVC Rack A,B9,REMOVED
5_S_C,0,3,26,12405,2023-11-30T09:26:45.287+0100,5_S_C_3,DVC Rack A,C9,REMOVED
5_S_C,0,3,26,12405,2023-11-30T09:26:45.170+0100,5_S_C_2,DVC Rack A,B9,INSERTED
5_S_C,0,3,26,12419,2023-11-30T09:26:59.861+0100,5_S_C_3,DVC Rack A,C9,INSERTED
5_S_C,0,3,27,12420,2023-11-30T09:27:00.431+0100,5_S_C_4,DVC Rack A,A8,REMOVED
5_S_C,0,3,27,12431,2023-11-30T09:27:11.811+0100,5_S_C_4,DVC Rack A,A8,INSERTED
5_S_C,0,3,27,12431,2023-11-30T09:27:11.815+0100,5_S_C_5,DVC Rack A,B8,REMOVED
5_S_C,0,3,27,12445,2023-11-30T09:27:25.089+0100,5_S_C_5,DVC Rack A,B8,INSERTED
5_S_C,0,3,27,12445,2023-11-30T09:27:25.112+0100,5_S_C_6,DVC Rack A,C8,REMOVED
5_S_C,0,3,27,12454,2023-11-30T09:27:34.992+0100,5_S_C_6,DVC Rack A,C8,INSERTED
5_S_C,0,3,27,12455,2023-11-30T09:27:35.348+0100,5_S_C_7,DVC Rack A,A7,REMOVED
5_S_C,0,3,27,12464,2023-11-30T09:27:44.030+0100,5_S_C_7,DVC Rack A,A7,INSERTED
5_S_C,0,3,27,12464,2023-11-30T09:27:44.163+0100,5_S_C_8,DVC Rack A,B7,REMOVED
5_S_C,0,3,27,12475,2023-11-30T09:27:55.781+0100,5_S_C_9,DVC Rack A,C7,REMOVED
5_S_C,0,3,27,12475,2023-11-30T09:27:55.741+0100,5_S_C_8,DVC Rack A,B7,INSERTED
5_S_C,0,3,28,12486,2023-11-30T09:28:06.863+0100,5_S_C_9,DVC Rack A,C7,INSERTED
3_S_C,0,3,28,12487,2023-11-30T09:28:07.127+0100,3_S_C_1,DVC Rack A,A6,REMOVED
3_S_C,0,3,28,12496,2023-11-30T09:28:16.319+0100,3_S_C_2,DVC Rack A,B6,REMOVED
3_S_C,0,3,28,12496,2023-11-30T09:28:16.298+0100,3_S_C_1,DVC Rack A,A6,INSERTED
3_S_C,0,3,28,12506,2023-11-30T09:28:26.264+0100,3_S_C_3,DVC Rack A,C6,REMOVED
3_S_C,0,3,28,12506,2023-11-30T09:28:26.107+0100,3_S_C_2,DVC Rack A,B6,INSERTED
3_S_C,0,3,28,12515,2023-11-30T09:28:35.242+0100,3_S_C_3,DVC Rack A,C6,INSERTED
3_S_C,0,3,28,12515,2023-11-30T09:28:35.931+0100,3_S_C_4,DVC Rack A,A5,REMOVED
3_S_C,0,3,30,12607,2023-11-30T09:30:07.511+0100,3_S_C_4,DVC Rack A,A5,INSERTED
3_S_C,0,3,30,12618,2023-11-30T09:30:18.362+0100,3_S_C_6,DVC Rack A,C5,REMOVED
3_S_C,0,3,30,12636,2023-11-30T09:30:36.745+0100,3_S_C_6,DVC Rack A,C5,INSERTED
3_S_C,0,3,30,12637,2023-11-30T09:30:37.052+0100,3_S_C_7,DVC Rack A,A4,REMOVED
3_S_C,0,3,30,12645,2023-11-30T09:30:45.432+0100,3_S_C_7,DVC Rack A,A4,INSERTED
3_S_C,0,3,30,12645,2023-11-30T09:30:45.461+0100,3_S_C_8,DVC Rack A,B4,REMOVED
3_S_C,0,3,31,12671,2023-11-30T09:31:11.044+0100,3_S_C_8,DVC Rack A,B4,INSERTED
3_S_C,0,3,31,12671,2023-11-30T09:31:11.115+0100,3_S_C_9,DVC Rack A,C4,REMOVED
