group,day,hour,minute,relativeTime,timestamp,cage,rack,position,event
16_weeks_data_males_pair_h,2,10,47,211654,2025-03-14T10:47:34.734+0100,DVC_086883,"","",REGISTERED
16_weeks_data_males_pair_h,2,10,47,211654,2025-03-14T10:47:34.742+0100,DVC_086883,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211654,2025-03-14T10:47:34.734+0100,DVC_086883,23002941A,A5,INSERTED
16_weeks_data_males_pair_h,2,10,47,211654,2025-03-14T10:47:34.745+0100,DVC_086883,"","",CAGE_ONLINE
16_weeks_data_males_pair_h,2,10,47,211654,2025-03-14T10:47:34.739+0100,DVC_086883,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211664,2025-03-14T10:47:44.044+0100,DVC_086884,"","",REGISTERED
16_weeks_data_males_pair_h,2,10,47,211664,2025-03-14T10:47:44.041+0100,DVC_086884,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211664,2025-03-14T10:47:44.051+0100,DVC_086884,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211664,2025-03-14T10:47:44.044+0100,DVC_086884,23002941A,B5,INSERTED
16_weeks_data_males_pair_h,2,10,47,211664,2025-03-14T10:47:44.055+0100,DVC_086884,"","",CAGE_ONLINE
16_weeks_data_males_pair_h,2,10,47,211670,2025-03-14T10:47:50.743+0100,DVC_086885,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211670,2025-03-14T10:47:50.746+0100,DVC_086885,"","",REGISTERED
16_weeks_data_males_pair_h,2,10,47,211670,2025-03-14T10:47:50.752+0100,DVC_086885,"","",CAGE_ONLINE
16_weeks_data_males_pair_h,2,10,47,211670,2025-03-14T10:47:50.749+0100,DVC_086885,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211670,2025-03-14T10:47:50.746+0100,DVC_086885,23002941A,C5,INSERTED
16_weeks_data_males_pair_h,2,10,47,211678,2025-03-14T10:47:58.621+0100,DVC_086886,"","",CAGE_ONLINE
16_weeks_data_males_pair_h,2,10,47,211678,2025-03-14T10:47:58.619+0100,DVC_086886,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211678,2025-03-14T10:47:58.615+0100,DVC_086886,23002941A,D5,INSERTED
16_weeks_data_males_pair_h,2,10,47,211678,2025-03-14T10:47:58.615+0100,DVC_086886,"","",ADDED
16_weeks_data_males_pair_h,2,10,47,211678,2025-03-14T10:47:58.615+0100,DVC_086886,"","",REGISTERED
16_weeks_data_males_pair_h,2,10,48,211686,2025-03-14T10:48:06.466+0100,DVC_086887,"","",ADDED
16_weeks_data_males_pair_h,2,10,48,211686,2025-03-14T10:48:06.464+0100,DVC_086887,"","",ADDED
16_weeks_data_males_pair_h,2,10,48,211686,2025-03-14T10:48:06.463+0100,DVC_086887,"","",REGISTERED
16_weeks_data_males_pair_h,2,10,48,211686,2025-03-14T10:48:06.465+0100,DVC_086887,"","",CAGE_ONLINE
16_weeks_data_males_pair_h,2,10,48,211686,2025-03-14T10:48:06.463+0100,DVC_086887,23002941A,E5,INSERTED
9_weeks_data_males_pair_h,2,10,48,211693,2025-03-14T10:48:13.698+0100,DVC_086888,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211693,2025-03-14T10:48:13.693+0100,DVC_086888,"","",CAGE_ONLINE
9_weeks_data_males_pair_h,2,10,48,211693,2025-03-14T10:48:13.703+0100,DVC_086888,23002941A,F5,INSERTED
9_weeks_data_males_pair_h,2,10,48,211693,2025-03-14T10:48:13.692+0100,DVC_086888,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211693,2025-03-14T10:48:13.703+0100,DVC_086888,"","",REGISTERED
9_weeks_data_males_pair_h,2,10,48,211701,2025-03-14T10:48:21.516+0100,DVC_086889,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211701,2025-03-14T10:48:21.494+0100,DVC_086889,23002941A,G5,INSERTED
9_weeks_data_males_pair_h,2,10,48,211701,2025-03-14T10:48:21.491+0100,DVC_086889,"","",CAGE_ONLINE
9_weeks_data_males_pair_h,2,10,48,211701,2025-03-14T10:48:21.498+0100,DVC_086889,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211701,2025-03-14T10:48:21.494+0100,DVC_086889,"","",REGISTERED
9_weeks_data_males_pair_h,2,10,48,211712,2025-03-14T10:48:32.647+0100,DVC_086890,"","",CAGE_ONLINE
9_weeks_data_males_pair_h,2,10,48,211712,2025-03-14T10:48:32.645+0100,DVC_086890,"","",REGISTERED
9_weeks_data_males_pair_h,2,10,48,211712,2025-03-14T10:48:32.650+0100,DVC_086890,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211712,2025-03-14T10:48:32.653+0100,DVC_086890,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211712,2025-03-14T10:48:32.645+0100,DVC_086890,23002941A,A4,INSERTED
9_weeks_data_males_pair_h,2,10,48,211720,2025-03-14T10:48:40.701+0100,DVC_086891,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211720,2025-03-14T10:48:40.703+0100,DVC_086891,"","",REGISTERED
9_weeks_data_males_pair_h,2,10,48,211720,2025-03-14T10:48:40.703+0100,DVC_086891,23002941A,B4,INSERTED
9_weeks_data_males_pair_h,2,10,48,211720,2025-03-14T10:48:40.713+0100,DVC_086891,"","",CAGE_ONLINE
9_weeks_data_males_pair_h,2,10,48,211720,2025-03-14T10:48:40.708+0100,DVC_086891,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211726,2025-03-14T10:48:46.765+0100,DVC_086892,"","",REGISTERED
9_weeks_data_males_pair_h,2,10,48,211726,2025-03-14T10:48:46.758+0100,DVC_086892,"","",CAGE_ONLINE
9_weeks_data_males_pair_h,2,10,48,211726,2025-03-14T10:48:46.761+0100,DVC_086892,"","",ADDED
9_weeks_data_males_pair_h,2,10,48,211726,2025-03-14T10:48:46.765+0100,DVC_086892,23002941A,C4,INSERTED
9_weeks_data_males_pair_h,2,10,48,211726,2025-03-14T10:48:46.763+0100,DVC_086892,"","",ADDED
9_weeks_data_males_pair_h,2,12,9,216547,2025-03-14T12:09:07.577+0100,DVC_086889,23002941A,G5,REMOVED
9_weeks_data_males_pair_h,2,12,9,216550,2025-03-14T12:09:10.765+0100,DVC_086889,23002941A,G5,INSERTED
9_weeks_data_males_pair_h,2,12,9,216551,2025-03-14T12:09:11.338+0100,DVC_086888,23002941A,F5,REMOVED
9_weeks_data_males_pair_h,2,12,9,216556,2025-03-14T12:09:16.121+0100,DVC_086888,23002941A,F5,INSERTED
16_weeks_data_males_pair_h,2,12,9,216559,2025-03-14T12:09:19.493+0100,DVC_086887,23002941A,E5,REMOVED
16_weeks_data_males_pair_h,2,12,9,216563,2025-03-14T12:09:23.470+0100,DVC_086887,23002941A,E5,INSERTED
