group,day,hour,minute,relativeTime,timestamp,cage,rack,position,event
70Q_WT,0,0,15,900,2024-11-01T07:15:00.000+0100,70Q_WT_70Q_WT8,23002940A,G9,REMOVED
70Q_WT,0,0,20,1200,2024-11-01T07:20:00.000+0100,70Q_WT_70Q_WT8,23002940A,G9,INSERTED
70Q_WT,0,1,0,3600,2024-11-01T08:00:00.000+0100,70Q_WT_70Q_WT6,23002940A,C9,REMOVED
70Q_WT,0,1,5,3900,2024-11-01T08:05:00.000+0100,70Q_WT_70Q_WT6,23002940A,C9,INSERTED
70Q_WT,0,1,55,6900,2024-11-01T08:55:00.000+0100,70Q_WT_70Q_WT8,23002940A,G9,REMOVED
70Q_WT,0,2,0,7200,2024-11-01T09:00:00.000+0100,70Q_WT_70Q_WT8,23002940A,G9,INSERTED
70Q_WT,0,2,45,9900,2024-11-01T09:45:00.000+0100,70Q_WT_70Q_WT6,23002940A,C9,REMOVED
70Q_WT,0,2,50,10200,2024-11-01T09:50:00.000+0100,70Q_WT_70Q_WT6,23002940A,C9,INSERTED
70Q_WT,0,4,40,16800,2024-11-01T11:40:00.000+0100,70Q_WT_70Q_WT10,23002940A,G9,REMOVED
70Q_WT,0,4,45,17100,2024-11-01T11:45:00.000+0100,70Q_WT_70Q_WT10,23002940A,G9,INSERTED
70Q_WT,0,5,45,20700,2024-11-01T12:45:00.000+0100,70Q_WT_70Q_WT8,23002940A,C9,REMOVED
70Q_WT,0,5,50,21000,2024-11-01T12:50:00.000+0100,70Q_WT_70Q_WT8,23002940A,C9,INSERTED
70Q_WT,0,12,5,43500,2024-11-01T19:05:00.000+0100,70Q_WT_70Q_WT6,23002940A,G9,REMOVED
70Q_WT,0,12,10,43800,2024-11-01T19:10:00.000+0100,70Q_WT_70Q_WT6,23002940A,G9,INSERTED
70Q_WT,0,19,45,71100,2024-11-02T02:45:00.000+0100,70Q_WT_70Q_WT1,23002940A,C9,REMOVED
70Q_WT,0,19,50,71400,2024-11-02T02:50:00.000+0100,70Q_WT_70Q_WT1,23002940A,C9,INSERTED
70Q_WT,0,22,20,80400,2024-11-02T05:20:00.000+0100,70Q_WT_70Q_WT2,23002940A,A1,REMOVED
70Q_WT,0,22,25,80700,2024-11-02T05:25:00.000+0100,70Q_WT_70Q_WT2,23002940A,A1,INSERTED
